review_id	sentiment	label_id	input_ids	review_body	date
18548	-1	0	[0, 713, 299, 16, 2721, 11, 1521, 1437, 53, 16748, 1437, 939, 40, 28, 3357, 4, 24, 16, 865, 10397, 1437, 8, 190, 71, 608, 98, 1437, 939, 56, 132, 21697, 196, 25816, 5203, 11, 739, 6538, 4, 9327, 187, 24, 21, 98, 34203, 137, 14784, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This top is beautiful in design  but sadly  i will be returning. it is hand wash  and even after doing so  i had 2 unraveled threads resulting in large holes. unfortunate since it was so flattering before washing.	2023-04-23T16:16:29Z
1096	1	2	[0, 100, 3225, 1381, 42, 15, 11, 1400, 8, 1064, 11, 657, 19, 5, 2721, 847, 66, 1254, 8, 2564, 4, 5, 999, 1521, 16, 269, 11962, 8, 2216, 8, 5, 2440, 3195, 16, 45, 192, 12, 11672, 23, 70, 4, 939, 2140, 56, 7, 907, 5, 3089, 11556, 804, 142, 939, 115, 45, 912, 2053, 59, 24, 4, 67, 3563, 10397, 868, 16, 10, 538, 2704, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I initially tried this on in store and fell in love with the beautiful cut out details and fit. the star design is really cute and unique and the blue color is not see-through at all. i eventually had to buy the blouse online because i could not stop thinking about it. also machine washable is a major plus.	2023-04-23T16:16:29Z
8865	0	1	[0, 16587, 352, 10844, 1437, 657, 5, 1254, 11, 5, 36201, 17539, 6806, 4, 5, 760, 9, 5, 10844, 1437, 5, 11956, 22, 9902, 18028, 113, 233, 21, 95, 350, 11956, 13, 162, 111, 350, 203, 1468, 89, 14, 24, 21, 29747, 24203, 4, 3680, 11962, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"Lovely jeans  love the details in the cuff bottoms. the front of the jeans  the relaxed ""boyfriend"" part was just too relaxed for me - too much material there that it was unflattering. otherwise cute."	2023-04-23T16:16:29Z
4365	0	1	[0, 100, 269, 770, 7, 657, 42, 960, 59, 42, 2125, 4, 941, 71, 2600, 70, 9, 5, 372, 1551, 939, 21, 98, 2283, 8, 546, 556, 7, 562, 42, 3588, 4, 9574, 24, 95, 222, 45, 173, 66, 4, 939, 2740, 10, 739, 8, 24, 2564, 2051, 53, 5, 3588, 222, 45, 492, 162, 5, 14848, 14322, 3989, 939, 56, 1166, 59, 8, 21, 2818, 13, 4, 24, 5909, 95, 10601, 15, 162, 8, 156, 162, 356, 6012, 4, 16748, 939, 56, 7, 671, 42, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I really wanted to love this everything about this piece. especially after reading all of the great review i was so excited and looking forward to getting this dress. unfortunately it just did not work out. i ordered a large and it fit fine but the dress did not give me the faltering shape i had read about and was hoping for. it literally just hung on me and made me look wider. sadly i had to return this.	2023-04-23T16:16:29Z
18874	-1	0	[0, 100, 1381, 42, 15, 11, 5, 1400, 8, 24, 21, 1307, 4, 939, 1705, 75, 860, 15, 10, 2735, 1836, 142, 51, 129, 56, 10, 132, 8, 204, 4, 939, 1381, 15, 127, 4505, 1836, 316, 4, 939, 218, 75, 206, 5, 26370, 5326, 219, 16, 25, 1256, 11, 621, 1169, 4, 2299, 45, 966, 5, 425, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I tried this on in the store and it was huge. i couldn't try on a smaller size because they only had a 2 and 4. i tried on my usual size 12. i don't think the embroidery is as pretty in person either. definitely not worth the price.	2023-04-23T16:16:29Z
2150	1	2	[0, 100, 222, 45, 676, 5, 743, 5, 97, 34910, 2801, 4, 5328, 42, 7, 10, 3312, 94, 353, 8, 829, 171, 33391, 4, 2721, 1437, 3473, 3588, 4, 5, 11044, 2564, 157, 480, 2829, 739, 15, 162, 36, 118, 524, 1009, 8987, 3226, 10, 741, 43, 11, 5, 1836, 939, 956, 1437, 53, 45, 35907, 98, 4, 657, 42, 3588, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I did not experience the issues the other reviewers mentioned. wore this to a wedding last month and received many compliments. beautiful  comfortable dress. the bust fit well -- slightly large on me (i am *just* a b) in the size i needed  but not horribly so. love this dress!	2023-04-23T16:16:29Z
9153	1	2	[0, 713, 16, 65, 9, 5, 144, 780, 14442, 939, 33, 655, 2164, 480, 8, 939, 524, 761, 9, 10, 3588, 621, 4, 42, 65, 34, 2721, 14901, 480, 11708, 21764, 1437, 53, 5, 28072, 2463, 8, 2576, 457, 32, 9321, 4, 10698, 16467, 480, 939, 524, 10, 410, 11044, 219, 1437, 98, 939, 21, 3915, 59, 70, 5, 14893, 11, 5, 760, 45, 6148, 154, 50, 20220, 490, 1437, 53, 11, 1285, 7, 5, 14893, 89, 32, 7397, 31991, 7, 1306, 24, 10117, 1367, 1437, 61, 16, 5425, 8, 10, 12456, 9, 5, 1318, 9, 5, 3588, 4, 939, 524, 195, 108, 401, 113, 8, 5, 5933, 21, 95, 235, 1437, 4091, 1438, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"This is one of the most special dresses i have ever owned -- and i am kind of a dress person. this one has beautiful detailing -- sheer sleeves  but the bodice and bottom half are lined. fits beautifully -- i am a little busty  so i was worried about all the buttons in the front not buttoning or popping open  but in addition to the buttons there are hidden hooks to ensure it stays closed  which is unusual and a reflection of the quality of the dress. i am 5'6"" and the length was just right  abou"	2023-04-23T16:16:29Z
10271	0	1	[0, 100, 657, 42, 3588, 1437, 53, 24, 16, 4877, 10941, 87, 5, 8194, 161, 50, 924, 4, 939, 524, 129, 195, 108, 406, 8, 24, 16, 132, 7, 155, 4877, 1065, 127, 4117, 4, 3680, 1437, 24, 16, 10, 7082, 2564, 8, 35162, 70, 936, 911, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I love this dress  but it is inches shorter than the description says or shows. i am only 5'7 and it is 2 to 3 inches above my knee. otherwise  it is a loose fit and hides all problem areas.	2023-04-23T16:16:29Z
2499	0	1	[0, 7939, 162, 386, 160, 30, 584, 939, 393, 3116, 6173, 1437, 53, 619, 19411, 7, 98, 14, 117, 65, 1493, 1516, 3514, 2028, 1329, 88, 2159, 42, 2721, 65, 12, 958, 3568, 2125, 4, 939, 3668, 1064, 11, 657, 19, 42, 6399, 77, 939, 2162, 24, 11, 5, 1136, 11, 909, 734, 1969, 3280, 7, 3568, 223, 127, 92, 30307, 490, 15203, 31, 6215, 328, 8, 1969, 2564, 328, 939, 437, 251, 28762, 12, 196, 8, 251, 3234, 8, 460, 33, 3605, 19, 2564, 4, 42, 145, 761, 9, 24901, 21, 95, 7082, 615, 8, 251, 615, 939, 115, 888, 619, 3473, 2498, 24, 33755, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Let me start off by saying i never write reviews  but feel compelled to so that no one else gets swindled into buying this beautiful one-time wear piece. i absolutely fell in love with this shirt when i bought it in the fall in black... perfect basic to wear under my new draped open vest from retailer! and perfect fit! i'm long torso-ed and long armed and always have trouble with fit. this being kind of oversized was just loose enough and long enough i could actually feel comfortable wearing it wi	2023-04-23T16:16:29Z
11903	0	1	[0, 2847, 939, 2740, 10, 321, 8, 181, 288, 4, 77, 939, 829, 106, 939, 115, 1137, 235, 409, 14, 939, 1017, 6573, 5, 321, 8, 24, 1415, 7, 28, 5, 1969, 1836, 4, 172, 939, 1381, 7, 9215, 24, 15, 81, 127, 10762, 734, 405, 21, 3229, 4, 24, 21, 5, 235, 1836, 53, 24, 21, 98, 543, 7, 120, 15, 81, 127, 10762, 8, 172, 7, 185, 24, 160, 939, 956, 127, 1623, 18, 244, 4, 24, 2564, 372, 3680, 4, 939, 2638, 5, 619, 9, 5, 10199, 734, 627, 1521, 9, 5, 28072, 2463, 4, 164, 62, 10, 1836, 74, 45, 244, 162, 25, 172, 24, 74, 28, 350, 739, 11, 5, 11044, 443, 734, 118, 437, 10, 2107, 428, 53, 939, 109, 2489, 2]	So i ordered a 0 and p0. when i received them i could tell right away that i'd prefer the 0 and it looked to be the perfect size. then i tried to slip it on over my shoulders...it was tight. it was the right size but it was so hard to get on over my shoulders and then to take it off i needed my husband's help. it fit great otherwise. i loved the feel of the fabric...the design of the bodice. going up a size would not help me as then it would be too large in the bust area...i'm a 32b but i do hav	2023-04-23T16:16:29Z
