review_id	sentiment	label_id	input_ids	review_body	date
12487	-1	0	[0, 1779, 939, 1166, 512, 9540, 1437, 939, 1057, 10, 410, 55, 2408, 4, 24, 269, 16, 95, 10, 7174, 1437, 251, 3089, 14609, 4, 67, 1437, 5, 8089, 2082, 430, 804, 4, 939, 421, 10, 1275, 73, 3916, 3863, 19, 741, 1780, 8, 1104, 33953, 1437, 98, 2085, 939, 3834, 12, 12745, 2198, 47570, 24, 16, 888, 6219, 73, 26895, 1120, 73, 1610, 7876, 23358, 4, 45, 99, 939, 421, 1437, 98, 24, 40, 28, 10, 671, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	When i read car coat  i expect a little more weight. it really is just a thin  long blazer. also  the colors appear different online. i expected a red/maroon with bue and white stripe  so maybe i mis-read completely...? it is actually brown/mustard/beige combo. not what i expected  so it will be a return.	2023-04-23T16:16:29Z
14885	0	1	[0, 100, 2740, 42, 299, 142, 939, 6640, 5, 356, 11, 5, 124, 1437, 959, 1437, 5, 299, 939, 829, 1326, 1085, 101, 5, 124, 4, 804, 24, 924, 14, 5, 124, 34, 33827, 359, 16, 4366, 4, 67, 804, 24, 924, 7174, 31622, 36, 6025, 356, 101, 10, 11689, 26123, 43, 53, 127, 299, 34, 117, 7174, 31622, 359, 117, 33827, 34437, 2778, 8372, 12846, 939, 373, 2111, 544, 53, 5, 6429, 939, 1834, 7, 399, 75, 33, 143, 335, 50, 4496, 59, 5, 299, 4, 939, 437, 1826, 15, 7, 5, 299, 142, 24, 16, 11962, 31, 5, 760, 1437, 53, 939, 21, 269, 6923, 5, 124, 7, 4600, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I ordered this top because i liked the look in the back  however  the top i received looks nothing like the back. online it shows that the back has elastic & is gathered. also online it shows thin straps (that look like a bra strap) but my top has no thin straps & no elastic~ extremely odd!! i called customer service but the lady i spoke to didn't have any information or complaints about the top. i'm holding on to the top because it is cute from the front  but i was really wanting the back to lo	2023-04-23T16:16:29Z
10296	1	2	[0, 100, 56, 723, 1991, 13, 42, 299, 8, 802, 24, 74, 28, 2378, 29370, 4, 53, 25, 10, 986, 37102, 2801, 1437, 5, 1318, 9, 5, 1468, 8, 33827, 13977, 9484, 817, 5, 299, 356, 10, 410, 7246, 11, 621, 4, 939, 437, 7785, 939, 300, 24, 15, 1392, 19, 5, 1823, 564, 207, 160, 4, 1437, 939, 21, 2818, 7, 2081, 24, 13, 10, 650, 1437, 53, 24, 18, 1088, 66, 30, 122, 4, 5, 299, 1237, 10, 410, 739, 4, 6329, 939, 437, 227, 10, 650, 8, 10, 4761, 1437, 53, 939, 206, 10, 650, 429, 190, 28, 350, 380, 4, 939, 342, 24, 15, 42, 662, 11, 5, 2933, 8, 30, 5, 86, 939, 300, 7, 173, 2, 1, 1, 1, 1, 1, 1]	I had higher hopes for this top and thought it would be fanicer. but as a previous reviewer mentioned  the quality of the material and elastic waistband makes the top look a little cheaper in person. i'm glad i got it on sale with the extra 25% off.  i was hoping to exchange it for a small  but it's sold out by now. the top runs a little large. normally i'm between a small and a medium  but i think a small might even be too big. i put it on this morning in the dark and by the time i got to work	2023-04-23T16:16:29Z
6482	-1	0	[0, 100, 2638, 5, 3195, 8, 1521, 454, 939, 1381, 24, 15, 11, 5, 1400, 4, 939, 524, 195, 108, 245, 113, 19, 10, 28701, 1119, 4, 939, 1381, 127, 4505, 3023, 29, 53, 1705, 75, 3616, 7, 342, 42, 6399, 15, 162, 396, 27632, 27337, 127, 7855, 50, 12272, 127, 652, 30, 5, 33827, 1971, 23, 5, 5397, 1902, 4, 5, 1971, 16, 98, 650, 190, 1950, 13596, 66, 4, 939, 33, 10, 2340, 23855, 471, 95, 11, 403, 47, 5170, 734, 939, 851, 62, 71, 9576, 19, 24, 4, 939, 64, 129, 4744, 141, 9800, 7, 3568, 402, 19, 10, 3229, 33827, 1971, 26864, 162, 734, 18317, 2855, 734, 53, 45, 6269, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"I loved the color and design until i tried it on in the store. i am 5'5"" with a slender build. i tried my usual xs but couldn't manage to put this shirt on me without risking smear my makeup or scratch my face by the elastic band at the neckline. the band is so small even fully stretched out. i have a normal sized head just in case you wonder... i gave up after wrestling with it. i can only imagine how uncomfortable to wear something with a tight elastic band choking me...funny... but not funny."	2023-04-23T16:16:29Z
6276	0	1	[0, 713, 2496, 9, 6399, 36220, 2333, 10698, 162, 6683, 1437, 959, 1437, 42, 222, 45, 2564, 162, 65, 828, 4, 5, 13977, 21, 350, 739, 1437, 5, 5933, 350, 765, 1437, 8, 5, 28097, 350, 650, 4, 939, 21, 269, 2818, 42, 74, 2564, 1437, 187, 24, 18, 10, 2216, 3195, 8, 5, 1468, 16, 6143, 53, 3793, 4, 939, 40, 28, 3357, 42, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This style of shirtdress usually fits me perfectly  however  this did not fit me one bit. the waist was too large  the length too short  and the hips too small. i was really hoping this would fit  since it's a unique color and the material is substantial but soft. i will be returning this.	2023-04-23T16:16:29Z
1613	-1	0	[0, 100, 802, 24, 21, 129, 162, 8, 1320, 9159, 939, 956, 7, 213, 15, 10, 5626, 77, 939, 3751, 7, 342, 42, 15652, 16576, 15, 4, 24, 300, 4889, 23, 127, 28097, 4, 939, 437, 10, 182, 4292, 1836, 650, 11, 14442, 8, 31296, 4, 939, 888, 802, 59, 2057, 24, 15, 81, 127, 471, 53, 14, 21, 4703, 4, 63, 164, 124, 4, 122, 939, 192, 5, 97, 6173, 8, 524, 15126, 14, 63, 5, 16576, 8, 45, 162, 328, 2813, 939, 56, 1166, 106, 137, 4906, 4, 6215, 16, 164, 7, 120, 10, 319, 9, 2886, 15, 42, 65, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I thought it was only me and immediately assumed i needed to go on a diet when i attempted to put this adorable skirt on. it got stuck at my hips. i'm a very consistent size small in dresses and skirts. i actually thought about putting it on over my head but that was impossible. its going back. now i see the other reviews and am relieved that its the skirt and not me! wish i had read them before purchasing. retailer is going to get a lot of returns on this one.	2023-04-23T16:16:29Z
7985	-1	0	[0, 100, 269, 222, 4, 259, 18, 596, 939, 95, 1705, 75, 35, 5, 22990, 22395, 146, 24, 356, 6162, 4, 5, 10199, 16, 3793, 1437, 1437, 1437, 53, 5, 6184, 16, 2432, 661, 31687, 4, 1437, 1437, 5, 2564, 16, 182, 6770, 5579, 37661, 1415, 3925, 8, 2233, 219, 1437, 5, 739, 21, 2232, 8, 11, 258, 10070, 5, 748, 12, 20020, 21, 350, 614, 7, 3568, 396, 10, 11021, 354, 4104, 12213, 17220, 5488, 5125, 5, 3508, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I really did. here's why i just couldn't: the lace strips make it look cheap. the fabric is soft    but the pattern is undistinguished.   the fit is very disappointing--medium looked square and boxy  the large was massive and in both sizes the v-neck was too low to wear without a camisole underneath....which defeated the purpose.	2023-04-23T16:16:29Z
16810	1	2	[0, 713, 16, 10, 9869, 1437, 157, 12, 22605, 1437, 26370, 21732, 1437, 13504, 6013, 1437, 939, 1395, 465, 10, 22892, 11, 42, 4, 939, 524, 195, 108, 245, 1437, 23703, 23246, 4, 1437, 2631, 417, 8, 5, 1836, 231, 16, 10, 5500, 2564, 4, 65, 9, 167, 13657, 14, 16, 98, 157, 12, 8267, 14, 24, 2653, 25, 114, 65, 16, 2498, 1085, 4, 5, 14187, 16, 28462, 4735, 626, 8, 16, 847, 6683, 13, 5, 3089, 11556, 4, 24, 34, 10, 650, 847, 12, 995, 11, 5, 124, 23, 5, 748, 4, 24, 10698, 95, 25, 5, 1345, 924, 8, 16, 98, 16106, 12, 405, 64, 28, 10610, 19, 960, 31, 10844, 7, 10, 4828, 16576, 4, 411, 2690, 328, 2, 1, 1, 1, 1, 1]	This is a lovely  well-fitting  embroidered  navy tank  i cannot find a flaw in this. i am 5'5  142 lbs.  34d and the size 6 is a fantastic fit. one of those tops that is so well-cut that it feels as if one is wearing nothing. the lining is impeccably done and is cut perfectly for the blouse. it has a small cut-out in the back at the v. it fits just as the photo shows and is so versatile-it can be worn with everything from jeans to a formal skirt. six stars!	2023-04-23T16:16:29Z
6242	1	2	[0, 100, 2333, 3568, 10, 4761, 50, 739, 11, 6215, 5418, 4, 939, 3584, 42, 11, 10, 739, 8, 24, 2564, 6683, 4, 24, 16, 10, 32645, 906, 299, 53, 939, 399, 75, 465, 24, 350, 203, 98, 4, 5, 14966, 6721, 817, 24, 182, 6043, 8, 11875, 7059, 1437, 8, 67, 64, 28, 10610, 25, 10, 1413, 1937, 326, 7363, 42041, 50, 2773, 25, 10, 28026, 2125, 4, 24, 16, 2422, 3793, 8, 3137, 24382, 25, 643, 33, 2801, 1437, 8, 10, 29826, 33997, 87, 95, 10, 13178, 326, 7363, 42041, 74, 28, 111, 24, 34, 6572, 4, 67, 1437, 24, 74, 28, 372, 13, 5796, 142, 24, 630, 75, 14902, 15673, 23, 70, 4, 657, 14, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1]	I usually wear a medium or large in retailer clothes. i purchased this in a large and it fit perfectly. it is a clingier top but i didn't find it too much so. the ribbing makes it very attractive and slimming  and also can be worn as a stand alone turtleneck or easily as a layered piece. it is super soft and comfy as others have mentioned  and a tad thicker than just a cotton turtleneck would be - it has substance. also  it would be great for traveling because it doesn't wrinkle at all. love that!	2023-04-23T16:16:29Z
14496	0	1	[0, 4528, 2075, 1528, 7, 1836, 1437, 53, 5, 10199, 16, 182, 13116, 8, 34262, 18116, 4, 939, 437, 7714, 8, 33, 11257, 5856, 1437, 53, 209, 2551, 7, 32645, 7, 8, 3825, 15, 358, 14548, 8293, 15, 127, 18781, 4, 8, 2828, 159, 21, 9800, 23, 5, 15145, 142, 9, 5, 13116, 10199, 4, 939, 2638, 141, 51, 2564, 23, 5, 13977, 1437, 53, 5, 5856, 95, 399, 75, 173, 13, 162, 4, 16748, 3357, 209, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	These ran true to size  but the fabric is very stiff and unforgiving. i'm athletic and have lean legs  but these seemed to cling to and roll on every dimple on my thigh. and sitting down was uncomfortable at the knees because of the stiff fabric. i loved how they fit at the waist  but the legs just didn't work for me. sadly returning these.	2023-04-23T16:16:29Z
